area_1	area_2
PoselenieMosrentgen	"""Мосрентген"""
Akademicheskoe	Академический
Alekseevskoe	Алексеевский
Altufevskoe	Алтуфьевский
Arbat	Арбат
Ajeroport	Аэропорт
Babushkinskoe	Бабушкинский
Basmannoe	Басманный
Begovoe	Беговой
Beskudnikovskoe	Бескудниковский
Bibirevo	Бибирево
Birjulevo Vostochnoe	Бирюлёво Восточное
Birjulevo Zapadnoe	Бирюлёво Западное
Bogorodskoe	Богородское
Brateevo	Братеево
Butyrskoe	Бутырский
Veshnjaki	Вешняки
Vnukovo	Внуково
Poselenie Vnukovskoe	Внуковское
Vojkovskoe	Войковский
Poselenie Voronovskoe	Вороновское
Poselenie Voskresenskoe	Воскресенское
Vostochnoe Degunino	Восточное Дегунино
Vostochnoe Izmajlovo	Восточное Измайлово
Vostochnoe	Восточный
Vyhino-Zhulebino	Выхино-Жулебино
Gagarinskoe	Гагаринский
Golovinskoe	Головинский
Gol'janovo	Гольяново
Danilovskoe	Даниловский
Poselenie Desjonovskoe	Десёновское
Dmitrovskoe	Дмитровский
Donskoe	Донской
Dorogomilovo	Дорогомилово
Zamoskvorech'e	Замоскворечье
Zapadnoe Degunino	Западное Дегунино
Zjuzino	Зюзино
Zjablikovo	Зябликово
Ivanovskoe	Ивановское
Izmajlovo	Измайлово
Kapotnja	Капотня
Poselenie Kievskij	Киевский
Poselenie Klenovskoe	Клёновское
Poselenie Kokoshkino	Кокошкино
Kon'kovo	Коньково
Koptevo	Коптево
Kosino-Uhtomskoe	Косино-Ухтомский
Kotlovka	Котловка
Poselenie Krasnopahorskoe	Краснопахорское
Krasnosel'skoe	Красносельский
Krylatskoe	Крылатское
Krjukovo	Крюково
Kuz'minki	Кузьминки
Kuncevo	Кунцево
Kurkino	Куркино
Levoberezhnoe	Левобережный
Lefortovo	Лефортово
Lianozovo	Лианозово
Lomonosovskoe	Ломоносовский
Losinoostrovskoe	Лосиноостровский
Ljublino	Люблино
Poselenie Marushkinskoe	Марушкинское
Marfino	Марфино
Mar'ina Roshha	Марьина Роща
Mar'ino	Марьино
Matushkino	Матушкино
Metrogorodok	Метрогородок
Meshhanskoe	Мещанский
Mitino	Митино
Poselenie Mihajlovo-Jarcevskoe	Михайлово-Ярцевское
Mozhajskoe	Можайский
Molzhaninovskoe	Молжаниновский
Moskvorech'e-Saburovo	Москворечье-Сабурово
Poselenie Moskovskij	Московский
Nagatino-Sadovniki	Нагатино-Садовники
Nagatinskij Zaton	Нагатинский Затон
Nagornoe	Нагорный
Nekrasovka	Некрасовка
Nizhegorodskoe	Нижегородский
Novo-Peredelkino	Ново-Переделкино
Novogireevo	Новогиреево
Novokosino	Новокосино
Poselenie Novofedorovskoe	Новофёдоровское
Obruchevskoe	Обручевский
Orehovo-Borisovo Severnoe	Орехово-Борисово Северное
Orehovo-Borisovo Juzhnoe	Орехово-Борисово Южное
Ostankinskoe	Останкинский
Otradnoe	Отрадное
Ochakovo-Matveevskoe	Очаково-Матвеевское
Poselenie Pervomajskoe	Первомайское
Perovo	Перово
Pechatniki	Печатники
Pokrovskoe Streshnevo	Покровское-Стрешнево
Preobrazhenskoe	Преображенское
Presnenskoe	Пресненский
Prospekt Vernadskogo	Проспект Вернадского
Ramenki	Раменки
Poselenie Rogovskoe	Роговское
Rostokino	Ростокино
Poselenie Rjazanovskoe	Рязановское
Rjazanskij	Рязанский
Savelki	Савёлки
Savelovskoe	Савёловский
Sviblovo	Свиблово
Severnoe Butovo	Северное Бутово
Severnoe Izmajlovo	Северное Измайлово
Severnoe Medvedkovo	Северное Медведково
Severnoe Tushino	Северное Тушино
Severnoe	Северный
Silino	Силино
Sokol	Сокол
Sokolinaja Gora	Соколиная Гора
Sokol'niki	Сокольники
Solncevo	Солнцево
Poselenie Sosenskoe	Сосенское
StaroeKrjukovo	Старое Крюково
Strogino	Строгино
Taganskoe	Таганский
Tverskoe	Тверской
Tekstil'shhiki	Текстильщики
Teplyj Stan	Теплый Стан
Timirjazevskoe	Тимирязевский
Troickij okrug	Троицк
Troparevo-Nikulino	Тропарёво-Никулино
Filevskij Park	Филёвский Парк
Fili Davydkovo	Фили-Давыдково
Poselenie Filimonkovskoe	Филимонковское
Hamovniki	Хамовники
Hovrino	Ховрино
Horoshevo-Mnevniki	Хорошёво-Мнёвники
Horoshevskoe	Хорошёвский
Caricyno	Царицыно
Cheremushki	Черёмушки
Chertanovo Severnoe	Чертаново Северное
Chertanovo Central'noe	Чертаново Центральное
Chertanovo Juzhnoe	Чертаново Южное
Poselenie Shhapovskoe	Щаповское
Poselenie Shherbinka	Щербинка
Shhukino	Щукино
Juzhnoe Butovo	Южное Бутово
Juzhnoe Medvedkovo	Южное Медведково
Juzhnoe Tushino	Южное Тушино
Juzhnoportovoe	Южнопортовый
Jakimanka	Якиманка
Jaroslavskoe	Ярославский
Jasenevo	Ясенево
